sep=;
Name:;Department:;Phone Number:;EmailAddress:
Sofia V. Sivertsen;Kundestøtte;+47 890 12 348;sosi@fsi-danamu.com
Emil O. Hansen;Salg;+47 901 23 459;emhn@fsi-danamu.com
Nora P. Edvardsen;Kundestøtte;+47 012 34 570;noed@fsi-danamu.com
Adrian R. Kristiansen;Utvikling;+47 123 45 682;adkr@fsi-danamu.com
Linnea . Fredriksen;Administrasjon;+47 234 56 783;lifr@fsi-danamu.com
Daniel U. Henriksen;Utvikling;+47 345 67 894;dahe@fsi-danamu.com
Sofie W. Tangen;Utvikling;+47 456 78 905;sota@fsi-danamu.com
Leon Y. Paulsen;Salg;+47 567 89 016;lepa@fsi-danamu.com
Ella Z. Antonsen;Kundestøtte;+47 678 90 127;elan@fsi-danamu.com
Noah I. Nygård;Utvikling;+47 789 01 238;nony@fsi-danamu.com
Emma S. Henriksen;Administrasjon;+47 890 12 349;emhe@fsi-danamu.com
Oliver D. Berge;Utvikling;+47 901 23 460;olbe@fsi-danamu.com
Leah K. Lie;Utvikling;+47 012 34 571;leli@fsi-danamu.com
Henrik E. Moe;Salg;+47 123 45 683;hemo@fsi-danamu.com
Julie A. Gulbrandsen;Administrasjon;+47 632 90 133;jugl@fsi-danamu.com
Bjørn Ø. Håland;Kundestøtte;+47 234 56 784;bjhå@fsi-danamu.com
Åse A. Nørgaard;Salg;+47 345 67 895;åsnø@fsi-danamu.com
Håkon Å. Møller;Utvikling;+47 456 78 906;håmø@fsi-danamu.com
Lars Ø. Johansen;Utvikling;+47 567 89 017;lajh@fsi-danamu.com
Ingrid E. Olsen;Utvikling;+47 678 90 128;inos@fsi-danamu.com
Synnøve E. Børresen;Administrasjon;+47 789 01 239;sybø@fsi-danamu.com
